id,name,category,price,unit,point,description,source,needsConfirmation,photoHint
rzhavki-milksheyk-chernika-klubnika-s-plombirom,"Милкшейк Черника, Клубника с пломбиром",Смузи и фреш,617,400 мл,rzhavki,Нежный ягодный милкшейк на молоке и пломбире.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-milksheyk-chernika-klubnika-s-plombirom.jpg
rzhavki-smuzi-banan-klubnika-apelsin,Смузи Банан-клубника-апельсин,Смузи и фреш,617,400 мл,rzhavki,Солнечный цитрусово-ягодный микс. Освежает с первого глотка.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-banan-klubnika-apelsin.jpg
rzhavki-smuzi-zelenyy,Смузи Зелёный,Смузи и фреш,617,400 мл,rzhavki,Лёгкий детокс на яблочном фреше. Свежо и бодряще.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-zelenyy.jpg
rzhavki-smuzi-inzhir-greckie-orehi-na-mindalnom-moloke,"Смузи Инжир, грецкие орехи на миндальном молоке",Смузи и фреш,617,400 мл,rzhavki,Питательный орехово-фруктовый смузи без лактозы с естественной сладостью инжира.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-inzhir-greckie-orehi-na-mindalnom-moloke.jpg
rzhavki-smuzi-klubnika-banan-kivi,Смузи Клубника–Банан–Киви,Смузи и фреш,617,400 мл,rzhavki,Свежий ягодно-фруктовый баланс на яблочном фреше без молока.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-klubnika-banan-kivi.jpg
rzhavki-smuzi-chernika-klubnika-yabloko,Смузи Черника-клубника-яблоко,Смузи и фреш,617,400 мл,rzhavki,Густой ягодный смузи с нотами яблочного фреша.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-chernika-klubnika-yabloko.jpg
rzhavki-smuzi-yagodnyy-na-kokosovom-moloke-bez-laktozy,Смузи Ягодный на кокосовом молоке без лактозы,Смузи и фреш,617,400 мл,rzhavki,Сливочность кокосового молока и яркие ягоды. Без лактозы.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-smuzi-yagodnyy-na-kokosovom-moloke-bez-laktozy.jpg
rzhavki-fresh-morkov-yabloko-500-ml,Фреш Морковь-яблоко 500 мл,Смузи и фреш,849,500 мл,rzhavki,Фреш из моркови и яблока без добавленного сахара.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-morkov-yabloko-500-ml.jpg
rzhavki-fresh-apelsinovyy-500-ml,Фреш апельсиновый 500 мл,Смузи и фреш,790,500 мл,rzhavki,Апельсиновый фреш без добавленного сахара и сиропов.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-apelsinovyy-500-ml.jpg
rzhavki-fresh-greypfrutovyy-500-ml,Фреш грейпфрутовый 500 мл,Смузи и фреш,839,500 мл,rzhavki,Грейпфрутовый фреш с освежающей лёгкой горчинкой.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-greypfrutovyy-500-ml.jpg
rzhavki-fresh-morkovnyy-500-ml,Фреш морковный 500 мл,Смузи и фреш,799,500 мл,rzhavki,Солнечный морковный фреш без сахара и сиропов.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-morkovnyy-500-ml.jpg
rzhavki-fresh-citrusovyy-briz-500-ml,Фреш цитрусовый бриз 500 мл,Смузи и фреш,859,500 мл,rzhavki,"Цитрусовый микс: апельсин, грейпфрут, лимон и лайм.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-citrusovyy-briz-500-ml.jpg
rzhavki-fresh-yablochnyy-500-ml,Фреш яблочный 500 мл,Смузи и фреш,790,500 мл,rzhavki,Лёгкий яблочный фреш с естественной сладостью.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-fresh-yablochnyy-500-ml.jpg
rzhavki-bubble-tea-bao-jiang-klubnika,Bubble tea BAO JIANG Клубника,Холодные напитки,390,620 мл,rzhavki,Освежающий негазированный напиток с джус-боллами.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-bubble-tea-bao-jiang-klubnika.jpg
rzhavki-klassicheskiy-limonad,Классический лимонад,Холодные напитки,299,300 мл,rzhavki,"Классика со вкусом солнца: лимон-лайм, лёд и газировка.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klassicheskiy-limonad.jpg
rzhavki-klubnichnyy-mohito,Клубничный мохито,Холодные напитки,377,300 мл,rzhavki,Ягодный напиток с мятой и льдом собственного приготовления.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnichnyy-mohito.jpg
rzhavki-kokosovyy-smuzi-klubnika-banan-s-plombirom,"Кокосовый смузи Клубника, Банан с пломбиром",Холодные напитки,617,400 мл,rzhavki,"Сливочный десертный смузи: пломбир, клубника и банан на кокосовом молоке.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-kokosovyy-smuzi-klubnika-banan-s-plombirom.jpg
rzhavki-kofe-ice-latte,Кофе Ice Latte,Холодные напитки,278,300 мл,rzhavki,Освежающий айс-латте на свежем помоле.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-kofe-ice-latte.jpg
rzhavki-limonad-brazilian-blyu,Лимонад Бразилиан блю,Холодные напитки,377,300 мл,rzhavki,Голубой цитрусовый лимонад собственного приготовления.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-limonad-brazilian-blyu.jpg
rzhavki-limonad-kivi,Лимонад Киви,Холодные напитки,377,300 мл,rzhavki,Освежающий лимонад собственного производства.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-limonad-kivi.jpg
rzhavki-mohito-osvezhayuschiy,Мохито освежающий,Холодные напитки,340,300 мл,rzhavki,Классическое безалкогольное мохито.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-mohito-osvezhayuschiy.jpg
rzhavki-mohito-klassicheskoe-bezalkogolnoe,Мохито классическое безалкогольное,Холодные напитки,360,400 мл,rzhavki,Освежающий мохито в классическом исполнении.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-mohito-klassicheskoe-bezalkogolnoe.jpg
rzhavki-feastables-shokolad-mr-beast-molochnyy,Feastables шоколад Mr. Beast молочный,Шоколадки и сладости,899,60 г,rzhavki,Эксклюзивный шоколад Feastables — трендовый десерт от MrBeast.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-feastables-shokolad-mr-beast-molochnyy.jpg
rzhavki-kinder-joy-minecraft,Kinder Joy Minecraft,Шоколадки и сладости,999,30 г,rzhavki,Коллекционная серия Kinder Joy для фанатов Minecraft.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-kinder-joy-minecraft.jpg
rzhavki-dubayskiy-shokolad-2-serdca,Дубайский шоколад 2 сердца,Дубайский шоколад,1390,100 г,rzhavki,"Молочный шоколад, фисташковая паста и катаифи в форме двух сердец.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-dubayskiy-shokolad-2-serdca.jpg
rzhavki-dubayskiy-shokolad-plitkoy,Дубайский шоколад плиткой,Дубайский шоколад,999,130 г,rzhavki,Трендовый дубайский молочный шоколад с фисташковой пастой.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-dubayskiy-shokolad-plitkoy.jpg
rzhavki-kinder-joy-stranger-things,Kinder Joy Stranger Things,Шоколадки и сладости,999,30 г,rzhavki,Лимитированная серия Kinder Joy с коллекционными игрушками.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-kinder-joy-stranger-things.jpg
rzhavki-shokolad-mrbeast-feastables-peanut-butter,Шоколад MrBeast Feastables Peanut Butter,Шоколадки и сладости,899,60 г,rzhavki,Молочный шоколад MrBeast Feastables с арахисовой пастой.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-shokolad-mrbeast-feastables-peanut-butter.jpg
rzhavki-shokolad-volosy-angela,Шоколад Волосы Ангела,Шоколадки и сладости,1197,150 г,rzhavki,Премиальный молочный шоколад с воздушной восточной начинкой пишмание.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-shokolad-volosy-angela.jpg
rzhavki-banan-v-molochnom-shokolade,Банан в молочном шоколаде,Десерты,289,120 г,rzhavki,Банан в молочном шоколаде — дополнение к набору клубники.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-banan-v-molochnom-shokolade.jpg
rzhavki-golubika-v-shokolade,Голубика в шоколаде,Десерты,990,140 г,rzhavki,Голубика в молочном шоколаде — маленький премиальный десерт.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-golubika-v-shokolade.jpg
rzhavki-klubnika-v-molochnom-shokolade-stakanchik,Клубника в молочном шоколаде — стаканчик,Десерты,837,160 г,rzhavki,Свежие ягоды в молочном шоколаде в прозрачном стакане с крышкой и шпажками.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-molochnom-shokolade-stakanchik.jpg
dybenko-babl-ti-kakao-s-tapiokoy-650-ml,Бабл ти Какао с тапиокой 650 мл,Летнее меню,890,650 мл,dybenko,"Большой шоколадный бабл-ти: молочный какао-напиток с шоколадным сиропом, взбитыми сливками и тапиокой.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-babl-ti-kakao-s-tapiokoy-650-ml.jpg
dybenko-babl-ti-marokko-650-ml,Бабл ти Марокко 650 мл,Летнее меню,649,650 мл,dybenko,"Освежающий бабл-ти на зелёном чае с цитрусами, пюре маракуйя, льдом и манговыми джус-болами.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-babl-ti-marokko-650-ml.jpg
dybenko-babl-ti-taro-klaud,Бабл ти Таро Клауд,Летнее меню,590,375 мл,dybenko,"Сливочный фиолетовый бабл-ти с таро, тапиокой и воздушной шапкой из взбитых сливок.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-babl-ti-taro-klaud.jpg
dybenko-bolshoy-babl-ti-taro-s-tapiokoy-650-ml,Большой бабл ти Таро с тапиокой 650 мл,Летнее меню,899,650 мл,dybenko,"Большой молочный бабл-ти Таро с тапиокой, льдом, взбитыми сливками и фруктовыми шариками.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-bolshoy-babl-ti-taro-s-tapiokoy-650-ml.jpg
dybenko-klassicheskiy-limonad,Классический лимонад,Летнее меню,327,300 мл,dybenko,"Лимон-лайм, лёд и бодрящая газировка.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klassicheskiy-limonad.jpg
dybenko-klubnichnyy-mohito,Клубничный мохито,Летнее меню,377,300 мл,dybenko,"Клубника, мята и лёд. Ягодный напиток собственного приготовления.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnichnyy-mohito.jpg
dybenko-limonad-kivi,Лимонад Киви,Летнее меню,377,300 мл,dybenko,Освежающий лимонад собственного производства.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-limonad-kivi.jpg
dybenko-mohito-osvezhayuschiy,Мохито освежающий,Летнее меню,340,300 мл,dybenko,Мохито в классическом безалкогольном исполнении.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-mohito-osvezhayuschiy.jpg
dybenko-mohito-klassicheskoe-bezalkogolnoe,Мохито классическое безалкогольное,Летнее меню,360,400 мл,dybenko,Освежающее классическое мохито.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-mohito-klassicheskoe-bezalkogolnoe.jpg
dybenko-smuzi-banan-klubnika-apelsin,Смузи Банан-клубника-апельсин,Смузи и фреш,617,400 мл,dybenko,Солнечный цитрусово-ягодный микс.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-banan-klubnika-apelsin.jpg
dybenko-smuzi-zelenyy,Смузи Зелёный,Смузи и фреш,617,400 мл,dybenko,Лёгкий детокс на яблочном фреше.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-zelenyy.jpg
dybenko-smuzi-inzhir-greckie-orehi-na-mindalnom-moloke,"Смузи Инжир, грецкие орехи на миндальном молоке",Смузи и фреш,617,400 мл,dybenko,Питательный смузи без лактозы с инжиром и грецким орехом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-inzhir-greckie-orehi-na-mindalnom-moloke.jpg
dybenko-smuzi-klubnika-banan-kivi,Смузи Клубника–Банан–Киви,Смузи и фреш,617,400 мл,dybenko,Ягодно-фруктовый смузи на яблочном фреше без молока.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-klubnika-banan-kivi.jpg
dybenko-smuzi-chernika-klubnika-s-plombirom,"Смузи Черника, Клубника с пломбиром",Смузи и фреш,617,400 мл,dybenko,Нежный ягодный смузи на молоке с пломбиром.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-chernika-klubnika-s-plombirom.jpg
dybenko-smuzi-chernika-klubnika-yabloko,Смузи Черника-клубника-яблоко,Смузи и фреш,617,400 мл,dybenko,Густой ягодный смузи с яблочным фрешем.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-chernika-klubnika-yabloko.jpg
dybenko-smuzi-yagodnyy-na-kokosovom-moloke-bez-laktozy,Смузи Ягодный на кокосовом молоке без лактозы,Смузи и фреш,617,400 мл,dybenko,Ягодный смузи на кокосовом молоке без лактозы.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-smuzi-yagodnyy-na-kokosovom-moloke-bez-laktozy.jpg
dybenko-fresh-morkov-yabloko-500-ml,Фреш Морковь-яблоко 500 мл,Смузи и фреш,839,500 мл,dybenko,Фреш из моркови и яблока без сахара и сиропов.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-morkov-yabloko-500-ml.jpg
dybenko-fresh-morkov-yabloko-selderey-500-ml,Фреш Морковь-яблоко-сельдерей 500 мл,Смузи и фреш,860,500 мл,dybenko,"Фреш из моркови, яблока и сельдерея.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-morkov-yabloko-selderey-500-ml.jpg
dybenko-fresh-citrusovyy-briz-500-ml,Фреш Цитрусовый бриз 500 мл,Смузи и фреш,860,500 мл,dybenko,"Апельсин, грейпфрут, лимон и лайм.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-citrusovyy-briz-500-ml.jpg
dybenko-fresh-apelsinovyy-500-ml,Фреш апельсиновый 500 мл,Смузи и фреш,790,500 мл,dybenko,Свежий апельсиновый фреш.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-apelsinovyy-500-ml.jpg
dybenko-fresh-greypfrutovyy-500-ml,Фреш грейпфрутовый 500 мл,Смузи и фреш,849,500 мл,dybenko,Грейпфрутовый фреш с лёгкой горчинкой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-greypfrutovyy-500-ml.jpg
dybenko-fresh-morkovnyy-500-ml,Фреш морковный 500 мл,Смузи и фреш,799,500 мл,dybenko,Морковный фреш без сахара и сиропов.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-morkovnyy-500-ml.jpg
dybenko-fresh-yablochnyy-500-ml,Фреш яблочный 500 мл,Смузи и фреш,790,500 мл,dybenko,Чистый яблочный фреш на каждый день.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fresh-yablochnyy-500-ml.jpg
dybenko-feastables-milk-crunch,Feastables Milk Crunch,Шоколадки и сладости,928,60 г,dybenko,Молочный шоколад Feastables Milk Crunch от MrBeast с хрустящим рисом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-feastables-milk-crunch.jpg
dybenko-haribo-piratos-lakrichnye-monety,Haribo Piratos лакричные монеты,Шоколадки и сладости,652,175 г,dybenko,Солёная лакрица Haribo Piratos в пиратском стиле.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-haribo-piratos-lakrichnye-monety.jpg
