Точка;Категория;Товар;Объёмы и цены;Опции;Файл изображения;Источник;Статус фото
Дыбенко;Газированные напитки;Лимонад киви;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/dy-soda-kiwi-lemonade.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Газированные напитки;Матча тоник;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/dy-soda-matcha-tonic.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Классик;"360 мл: 330 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/dy-bubble-classic.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Таро клауд;"360 мл: 390 ₽; 650 мл: 550 ₽";;/assets/products/menu-items/dy-bubble-taro-cloud.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Какао крим;"360 мл: 390 ₽; 650 мл: 550 ₽";;/assets/products/menu-items/dy-bubble-cacao-cream.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Манго-клубника;"360 мл: 390 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/dy-bubble-mango-strawberry.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Вайлдберриз;"360 мл: 330 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/dy-bubble-wildberries.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Бабл ти;Марокко;"360 мл: 290 ₽; 650 мл: 410 ₽";;/assets/products/menu-items/dy-bubble-marocco.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Молочные коктейли;Молочный коктейль;"300 мл: 380 ₽; 400 мл: 450 ₽; 500 мл: 490 ₽";Выберите вкус: Бабл-гам, Клубника, Лесные ягоды, Банан, Ваниль, Фисташка, Манго, Персик, Карамель;/assets/products/menu-items/dy-milkshake.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №1;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-1.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №2;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-2.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №3;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-3.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №4;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-4.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №5;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-5.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №6;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-6.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №7;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-7.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Смузи;Смузи №8;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/dy-smoothie-8.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Добавки;Тапиока;120 ₽;;/assets/products/menu-items/dy-addon-tapioca.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Дыбенко;Добавки;Джусболлы;70 ₽;Выберите вкус: Клубника, Черника, Манго, Яблоко;/assets/products/menu-items/dy-addon-juiceballs.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Кофе;Эспрессо;140 ₽;;/assets/products/menu-items/gp-coffee-espresso.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Американо;"200 мл: 160 ₽; 300 мл: 190 ₽; 400 мл: 240 ₽";;/assets/products/menu-items/gp-coffee-americano.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Капучино;"200 мл: 190 ₽; 300 мл: 240 ₽; 400 мл: 290 ₽";;/assets/products/menu-items/gp-coffee-cappuccino.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Латте;"300 мл: 240 ₽; 400 мл: 290 ₽";;/assets/products/menu-items/gp-coffee-latte.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Флэт уайт;"200 мл: 210 ₽; 300 мл: 290 ₽";;/assets/products/menu-items/gp-coffee-flat-white.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Раф;"300 мл: 290 ₽; 400 мл: 330 ₽";;/assets/products/menu-items/gp-coffee-raf.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Мокко;"200 мл: 210 ₽; 300 мл: 260 ₽; 400 мл: 320 ₽";Выберите шоколад: Тёмный, Молочный, Белый;/assets/products/menu-items/gp-coffee-mokko.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Халва латте;"300 мл: 360 ₽; 400 мл: 410 ₽";;/assets/products/menu-items/gp-coffee-halva-latte.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Белый шоколад с малиной;"300 мл: 360 ₽; 400 мл: 410 ₽";;/assets/products/menu-items/gp-coffee-white-choc-raspberry.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Bounty;"300 мл: 390 ₽; 400 мл: 450 ₽";;/assets/products/menu-items/gp-coffee-bounty.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Кофе;Snickers;"300 мл: 390 ₽; 400 мл: 450 ₽";;/assets/products/menu-items/gp-coffee-snickers.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;ICE кофе;Айс латте;"300 мл: 240 ₽; 400 мл: 290 ₽";;/assets/products/menu-items/gp-ice-ice-latte.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;ICE кофе;Эспрессо тоник;"300 мл: 240 ₽; 400 мл: 290 ₽";;/assets/products/menu-items/gp-ice-espresso-tonic.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;ICE кофе;Фраппучино;"300 мл: 390 ₽; 400 мл: 450 ₽";;/assets/products/menu-items/gp-ice-frappuccino.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;ICE кофе;Бамбл апельсин / гранат;"300 мл: 310 ₽; 400 мл: 360 ₽";Выберите вкус: Апельсин, Гранат;/assets/products/menu-items/gp-ice-bumble.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;ICE кофе;Апельсиновый бамбл на фреше;"300 мл: 490 ₽; 400 мл: 590 ₽";;/assets/products/menu-items/gp-ice-orange-bumble-fresh.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Не кофе;Матча латте;"200 мл: 190 ₽; 300 мл: 240 ₽; 400 мл: 290 ₽";;/assets/products/menu-items/gp-noncoffee-matcha-latte.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Не кофе;Какао с маршмеллоу;"200 мл: 160 ₽; 300 мл: 210 ₽; 400 мл: 260 ₽";;/assets/products/menu-items/gp-noncoffee-cacao.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Не кофе;Горячий шоколад;"200 мл: 160 ₽; 300 мл: 210 ₽; 400 мл: 260 ₽";Выберите шоколад: Тёмный, Молочный, Белый;/assets/products/menu-items/gp-noncoffee-hot-chocolate.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;"Отдельный файл карточки; ближайший представитель стакана из меню, поскольку исходник не содержит фото каждой строки кофе"
Зеленопарк;Чай листовой;Чёрный / зелёный / молочный улун;"300 мл: 100 ₽; 400 мл: 120 ₽";;/assets/products/menu-items/gp-tea-black-green-oolong.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;Отдельный точечный crop из меню
Зеленопарк;Чай листовой;Травяной сбор;"300 мл: 140 ₽; 400 мл: 160 ₽";;/assets/products/menu-items/gp-tea-herbal.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;Отдельный точечный crop из меню
Зеленопарк;Чай листовой;Малиновый с мятой;"300 мл: 140 ₽; 400 мл: 160 ₽";;/assets/products/menu-items/gp-tea-raspberry-mint.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;Отдельный точечный crop из меню
Зеленопарк;Чай листовой;Клубничный;"300 мл: 230 ₽; 400 мл: 250 ₽";;/assets/products/menu-items/gp-tea-strawberry.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;Отдельный точечный crop из меню
Зеленопарк;Чай листовой;Марокканский;"300 мл: 230 ₽; 400 мл: 250 ₽";;/assets/products/menu-items/gp-tea-moroccan.png;Зеленопарк: кофе / ICE кофе / не кофе / чай;Отдельный точечный crop из меню
Зеленопарк;Добавки;Альтернативное молоко;"200 мл: 50 ₽; 300 мл: 60 ₽; 400 мл: 70 ₽";Выберите молоко: Кокосовое, Миндальное, Безлактозное;/assets/products/menu-items/gp-addon-alt-milk.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Добавки;Сироп;40 ₽;;/assets/products/menu-items/gp-addon-syrup.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Добавки;Молоко / мята / лимон / лайм;20 ₽;Выберите добавку: Молоко, Мята, Лимон, Лайм;/assets/products/menu-items/gp-addon-tea.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Добавки;Добавить сливки;100 ₽;;/assets/products/menu-items/gp-addon-cream.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Фреши;Морковный;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/gp-fresh-carrot.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Яблочный;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 650 ₽";;/assets/products/menu-items/gp-fresh-apple.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Апельсиновый;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/gp-fresh-orange.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Грейпфрутовый;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/gp-fresh-grapefruit.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Апельсин–шпинат;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 650 ₽";;/assets/products/menu-items/gp-fresh-orange-spinach.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Апельсин–морковь;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/gp-fresh-orange-carrot.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Грейпфрут–лайм–апельсин;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/gp-fresh-grapefruit-lime-orange.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Морковь–яблоко;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 650 ₽";;/assets/products/menu-items/gp-fresh-carrot-apple.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Яблоко–мята–клубника;"300 мл: 590 ₽; 400 мл: 790 ₽";;/assets/products/menu-items/gp-fresh-apple-mint-strawberry.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Зеленопарк;Фреши;Морковь–яблоко–сельдерей;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/gp-fresh-carrot-apple-celery.png;Зеленопарк: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Морковный;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/dy-fresh-carrot.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Яблочный;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/dy-fresh-apple.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Апельсиновый;"300 мл: 390 ₽; 400 мл: 490 ₽; 500 мл: 590 ₽";;/assets/products/menu-items/dy-fresh-orange.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Грейпфрутовый;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/dy-fresh-grapefruit.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Морковь–яблоко;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/dy-fresh-carrot-apple.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Цитрусовый бриз;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/dy-fresh-citrus-breeze.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Морковь–яблоко–сельдерей;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/dy-fresh-carrot-apple-celery.png;Дыбенко: фреши;Отдельный точечный crop из меню
Дыбенко;Фреши;Имбирный цитрус;"300 мл: 490 ₽; 400 мл: 590 ₽; 500 мл: 690 ₽";;/assets/products/menu-items/dy-fresh-ginger-citrus.png;Дыбенко: фреши;Отдельный точечный crop из меню
